"CaminhoRelativo","Nome","Extensao","TamanhoBytes","DataModificacao"
"00-preparacao\E00_diagnostico_inicial_20260730-120833.log","E00_diagnostico_inicial_20260730-120833.log",".log","5915","2026-07-30 12:09:14"
"00-preparacao\E01_resumo_inicial_20260730-120833.txt","E01_resumo_inicial_20260730-120833.txt",".txt","707","2026-07-30 12:09:14"
"00-preparacao\E02_terraform_plan_20260730-120833.log","E02_terraform_plan_20260730-120833.log",".log","2946","2026-07-30 12:09:14"
"00-preparacao\E03_resumo_etapa_0.png","E03_resumo_etapa_0.png",".png","26743","2026-07-30 12:11:31"
"03-instalacao-meltano\E06_instalacao_python311.log","E06_instalacao_python311.log",".log","5196","2026-07-30 12:15:05"
"03-instalacao-meltano\E07_resumo_etapa_2.png","E07_resumo_etapa_2.png",".png","20051","2026-07-30 12:16:59"
"03-instalacao-meltano\E08_instalacao_meltano.log","E08_instalacao_meltano.log",".log","15553","2026-07-30 12:30:18"
"03-instalacao-meltano\E10_reativacao_ambiente_virtual.log","E10_reativacao_ambiente_virtual.log",".log","445","2026-07-30 12:24:46"
"04-projeto-meltano\E11_criacao_projeto_meltano.log","E11_criacao_projeto_meltano.log",".log","4543","2026-07-30 12:27:11"
"04-projeto-meltano\E12_meltano_yml_inicial.yml","E12_meltano_yml_inicial.yml",".yml","163","2026-07-30 12:27:12"
"04-projeto-meltano\E13_resumo_etapa_4.png","E13_resumo_etapa_4.png",".png","26799","2026-07-30 12:28:39"
"04-projeto-meltano\E14_instalacao_tap_postgres.log","E14_instalacao_tap_postgres.log",".log","957","2026-07-30 12:34:56"
"04-projeto-meltano\E15_adicao_tap_rest_api_msdk.log","E15_adicao_tap_rest_api_msdk.log",".log","713","2026-07-30 12:34:57"
"04-projeto-meltano\E16_instalacao_tap_rest_api_msdk.log","E16_instalacao_tap_rest_api_msdk.log",".log","629","2026-07-30 12:34:58"
"04-projeto-meltano\E17_instalacao_target_parquet.log","E17_instalacao_target_parquet.log",".log","976","2026-07-30 12:34:58"
"04-projeto-meltano\E18_resumo_plugins.log","E18_resumo_plugins.log",".log","819","2026-07-30 12:34:59"
"04-projeto-meltano\E19_meltano_yml_com_plugins.yml","E19_meltano_yml_com_plugins.yml",".yml","490","2026-07-30 12:35:00"
"05-ingestao-postgres\E20_configuracao_postgres_parquet.log","E20_configuracao_postgres_parquet.log",".log","8351","2026-07-30 12:39:47"
"05-ingestao-postgres\E21_catalogo_postgres.log","E21_catalogo_postgres.log",".log","47134","2026-07-30 12:39:48"
"05-ingestao-postgres\E22_dry_run_postgres.log","E22_dry_run_postgres.log",".log","2533","2026-07-30 12:48:52"
"05-ingestao-postgres\E22_meltano_yml_configurado.yml","E22_meltano_yml_configurado.yml",".yml","742","2026-07-30 12:39:49"
"05-ingestao-postgres\E23_execucao_pipeline_postgres.log","E23_execucao_pipeline_postgres.log",".log","15044","2026-07-30 12:48:53"
"05-ingestao-postgres\E24_validacao_parquet_postgres.log","E24_validacao_parquet_postgres.log",".log","401","2026-07-30 12:48:54"
"05-ingestao-postgres\E25_resumo_ingestao_postgres.log","E25_resumo_ingestao_postgres.log",".log","590","2026-07-30 12:48:55"
"05-ingestao-postgres\E26_hashes_parquet_postgres.txt","E26_hashes_parquet_postgres.txt",".txt","164","2026-07-30 12:48:55"
"06-ingestao-pokeapi\E34_disponibilidade_pokeapi.log","E34_disponibilidade_pokeapi.log",".log","302","2026-07-30 12:57:33"
"06-ingestao-pokeapi\E35_configuracao_pokeapi.log","E35_configuracao_pokeapi.log",".log","7628","2026-07-30 12:57:34"
"06-ingestao-pokeapi\E36_catalogo_pokeapi.log","E36_catalogo_pokeapi.log",".log","1672","2026-07-30 12:57:34"
"06-ingestao-pokeapi\E37_resumo_configuracao_pokeapi.log","E37_resumo_configuracao_pokeapi.log",".log","575","2026-07-30 12:57:35"
"06-ingestao-pokeapi\E38_meltano_yml_com_pokeapi.yml","E38_meltano_yml_com_pokeapi.yml",".yml","1124","2026-07-30 12:57:36"
"06-ingestao-pokeapi\E40_execucao_pipeline_pokeapi.log","E40_execucao_pipeline_pokeapi.log",".log","13550","2026-07-30 15:00:11"
"06-ingestao-pokeapi\E41_validacao_parquet_pokeapi.log","E41_validacao_parquet_pokeapi.log",".log","443","2026-07-30 15:00:12"
"06-ingestao-pokeapi\E42_hashes_parquet_pokeapi.txt","E42_hashes_parquet_pokeapi.txt",".txt","152","2026-07-30 15:00:13"
"06-ingestao-pokeapi\E43_resumo_ingestao_pokeapi.log","E43_resumo_ingestao_pokeapi.log",".log","673","2026-07-30 15:00:14"
"06-ingestao-pokeapi\E44_meltano_yml_final.yml","E44_meltano_yml_final.yml",".yml","1159","2026-07-30 15:00:14"
"08-publicacao-s3\E29_publicacao_vendas_s3.log","E29_publicacao_vendas_s3.log",".log","1002","2026-07-30 12:50:58"
