"CaminhoRelativo","Nome","Extensao","TamanhoBytes","DataModificacao"
"00-preparacao\E00_diagnostico_inicial_dlt_20260730-150744.log","E00_diagnostico_inicial_dlt_20260730-150744.log",".log","11019","2026-07-30 15:08:17"
"00-preparacao\E01_terraform_plan_dlt_20260730-150744.log","E01_terraform_plan_dlt_20260730-150744.log",".log","14320","2026-07-30 15:08:05"
"00-preparacao\E02_resumo_etapa_0_dlt_20260730-150744.txt","E02_resumo_etapa_0_dlt_20260730-150744.txt",".txt","515","2026-07-30 15:08:17"
"00-preparacao\E04_recuperacao_credenciais_aws.log","E04_recuperacao_credenciais_aws.log",".log","5344","2026-07-30 15:12:35"
"01-infraestrutura\E05_terraform_validate_dlt.log","E05_terraform_validate_dlt.log",".log","82","2026-07-30 15:13:29"
"01-infraestrutura\E06_terraform_plan_pos_recuperacao.log","E06_terraform_plan_pos_recuperacao.log",".log","6428","2026-07-30 15:14:02"
"01-infraestrutura\E06A_plano_alteracao_ip_publico.log","E06A_plano_alteracao_ip_publico.log",".log","6428","2026-07-30 15:14:02"
"01-infraestrutura\E06B_terraform_refresh_only_plan.log","E06B_terraform_refresh_only_plan.log",".log","7118","2026-07-30 15:15:59"
"01-infraestrutura\E06C_terraform_refresh_only_show.log","E06C_terraform_refresh_only_show.log",".log","3454","2026-07-30 15:16:14"
"01-infraestrutura\E06D_terraform_refresh_only_apply.log","E06D_terraform_refresh_only_apply.log",".log","1034","2026-07-30 15:16:26"
"01-infraestrutura\E06E_terraform_plan_final_sem_drift.log","E06E_terraform_plan_final_sem_drift.log",".log","2946","2026-07-30 15:16:42"
"01-infraestrutura\E07_terraform_outputs_dlt.log","E07_terraform_outputs_dlt.log",".log","880","2026-07-30 15:16:46"
"01-infraestrutura\E08_resumo_revalidacao_infraestrutura.txt","E08_resumo_revalidacao_infraestrutura.txt",".txt","912","2026-07-30 15:17:27"
"01-infraestrutura\E09_resumo_revalidacao_infraestrutura.png","E09_resumo_revalidacao_infraestrutura.png",".png","44328","2026-07-30 15:18:31"
"02-acesso-ec2\E10_diagnostico_ec2_dlt.log","E10_diagnostico_ec2_dlt.log",".log","3896","2026-07-30 15:35:45"
"02-acesso-ec2\E10A_falha_subshell_diagnostico.log","E10A_falha_subshell_diagnostico.log",".log","3248","2026-07-30 15:35:46"
"02-acesso-ec2\E11_resumo_diagnostico_ec2_dlt.txt","E11_resumo_diagnostico_ec2_dlt.txt",".txt","483","2026-07-30 15:35:47"
"02-acesso-ec2\E13_diagnostico_timeout_ssh.log","E13_diagnostico_timeout_ssh.log",".log","6726","2026-07-30 15:23:53"
"03-instalacao-dlt\E13_instalacao_dlt.log","E13_instalacao_dlt.log",".log","19200","2026-07-30 15:40:52"
"03-instalacao-dlt\E14_versoes_dlt_dependencias.log","E14_versoes_dlt_dependencias.log",".log","292","2026-07-30 15:40:53"
